Latitude,Longitude,Season,sst
-40.0,110.0,Summer,14.806165280000002
-40.0,110.0,Winter,12.359204525641026
-40.0,112.0,Autumn,14.888213519230769
-40.0,112.0,Spring,12.218005962051285
-40.0,112.0,Summer,14.986416103076921
-40.0,112.0,Winter,12.555812794871793
-40.0,114.0,Autumn,15.04122321153846
-40.0,114.0,Spring,12.384843877692306
-40.0,114.0,Summer,15.149780777179487
-40.0,114.0,Winter,12.757653237179484
-40.0,116.0,Autumn,15.117554871794873
-40.0,116.0,Spring,12.469535135641024
-40.0,116.0,Summer,15.24113346794872
-40.0,116.0,Winter,12.830792782051283
-40.0,118.0,Autumn,15.110835903846153
-40.0,118.0,Spring,12.461344963076924
-40.0,118.0,Summer,15.275300253076923
-40.0,118.0,Winter,12.727435724358974
-40.0,120.0,Autumn,15.08562482051282
-40.0,120.0,Spring,12.391773787435897
-40.0,120.0,Summer,15.283038233846154
-40.0,120.0,Winter,12.546457314102563
-40.0,122.0,Autumn,15.093102666666667
-40.0,122.0,Spring,12.315426336666667
-40.0,122.0,Summer,15.270176693589745
-40.0,122.0,Winter,12.436084269230768
-40.0,124.0,Autumn,15.13725075
-40.0,124.0,Spring,12.282999656923076
-40.0,124.0,Summer,15.272085251025638
-40.0,124.0,Winter,12.43248853205128
-40.0,126.0,Autumn,15.17239808974359
-40.0,126.0,Spring,12.28722538
-40.0,126.0,Summer,15.307749937435899
-40.0,126.0,Winter,12.454233660256412
-40.0,128.0,Autumn,15.194324852564103
-40.0,128.0,Spring,12.320909842307692
-40.0,128.0,Summer,15.373292187179487
-40.0,128.0,Winter,12.48339239102564
-40.0,130.0,Autumn,15.246104576923079
-40.0,130.0,Spring,12.3960993325641
-40.0,130.0,Summer,15.461054675128205
-40.0,130.0,Winter,12.559670878205127
-40.0,132.0,Autumn,15.328162480769231
-40.0,132.0,Spring,12.504818815384615
-40.0,132.0,Summer,15.563339837435898
-40.0,132.0,Winter,12.657824955128206
-40.0,134.0,Autumn,15.449598615384616
-40.0,134.0,Spring,12.671176979999998
-40.0,134.0,Summer,15.722704865641026
-40.0,134.0,Winter,12.76808712820513
-40.0,136.0,Autumn,15.588371108974359
-40.0,136.0,Spring,12.90032453179487
-40.0,136.0,Summer,15.927396385384617
-40.0,136.0,Winter,12.923777576923078
-40.0,138.0,Autumn,15.737754384615384
-40.0,138.0,Spring,13.20252913076923
-40.0,138.0,Summer,16.143137914871794
-40.0,138.0,Winter,13.193157243589743
-40.0,140.0,Autumn,15.920671038461537
-40.0,140.0,Spring,13.506816598461539
-40.0,140.0,Summer,16.342094747179488
-40.0,140.0,Winter,13.543193730769232
-40.0,142.0,Autumn,16.155671256410255
-40.0,142.0,Spring,13.666480008717949
-40.0,142.0,Summer,16.53541820102564
-40.0,142.0,Winter,13.779290852564102
-40.0,144.0,Autumn,16.57122310897436
-40.0,144.0,Spring,13.704773846410257
-40.0,144.0,Summer,16.92062702820513
-40.0,144.0,Winter,13.774551153846154
-40.0,146.0,Autumn,17.196221262820515
-40.0,146.0,Spring,13.915812882820513
-40.0,146.0,Summer,17.562464718974358
-40.0,146.0,Winter,13.857281653846153
-40.0,148.0,Autumn,18.01960787179487
-40.0,148.0,Spring,14.531286978205129
-40.0,148.0,Summer,18.398377593846153
-40.0,148.0,Winter,14.423849378205128
-40.0,150.0,Autumn,18.685074384615383
-40.0,150.0,Spring,15.176192932564105
-40.0,150.0,Summer,19.04928414717949
-40.0,150.0,Winter,15.116254461538462
-40.0,152.0,Autumn,18.888975794871794
-40.0,152.0,Spring,15.437728468974358
-40.0,152.0,Summer,19.23592773948718
-40.0,152.0,Winter,15.465353532051282
-40.0,154.0,Autumn,18.741485794871796
-40.0,154.0,Spring,15.36683797102564
-40.0,154.0,Summer,19.093896743076925
-40.0,154.0,Winter,15.431982865384617
-40.0,156.0,Autumn,18.415336256410257
-40.0,156.0,Spring,15.179456502564102
-40.0,156.0,Summer,18.797951185641026
-40.0,156.0,Winter,15.197756320512818
-40.0,158.0,Autumn,18.12134364102564
-40.0,158.0,Spring,15.015224827179487
-40.0,158.0,Summer,18.529073337948716
-40.0,158.0,Winter,14.987956480769233
-40.0,160.0,Autumn,17.866988730769233
-40.0,160.0,Spring,14.844858704102563
-40.0,160.0,Summer,18.295720585128205
-40.0,160.0,Winter,14.810024019230772
-38.0,110.0,Autumn,16.549453884615385
-38.0,110.0,Spring,13.56506678820513
-38.0,110.0,Summer,16.53501049333333
-38.0,110.0,Winter,13.975592916666665
-38.0,112.0,Autumn,16.87859003205128
-38.0,112.0,Spring,13.861739522307692
-38.0,112.0,Summer,16.799010159743588
-38.0,112.0,Winter,14.34036983974359
-38.0,114.0,Autumn,17.15691680769231
-38.0,114.0,Spring,14.15613206
-38.0,114.0,Summer,17.044230633846155
-38.0,114.0,Winter,14.69585833974359
-38.0,116.0,Autumn,17.23449891025641
-38.0,116.0,Spring,14.295745825897436
-38.0,116.0,Summer,17.127488256923076
-38.0,116.0,Winter,14.828414141025641
-38.0,118.0,Autumn,17.13694012820513
-38.0,118.0,Spring,14.244763824871795
-38.0,118.0,Summer,17.08823586051282
-38.0,118.0,Winter,14.680592076923077
-38.0,120.0,Autumn,17.0078295
-38.0,120.0,Spring,14.073143347692309
-38.0,120.0,Summer,17.02101536923077
-38.0,120.0,Winter,14.38792541025641
-38.0,122.0,Autumn,16.916347
-38.0,122.0,Spring,13.87724185076923
-38.0,122.0,Summer,16.950273138974357
-38.0,122.0,Winter,14.123752602564101
-38.0,124.0,Autumn,16.86538255128205
-38.0,124.0,Spring,13.750389632564103
-38.0,124.0,Summer,16.909636726666665
-38.0,124.0,Winter,13.964544102564105
-38.0,126.0,Autumn,16.800023461538462
-38.0,126.0,Spring,13.669811865128205
-38.0,126.0,Summer,16.8844305174359
-38.0,126.0,Winter,13.84159051923077
-38.0,128.0,Autumn,16.730754006410255
-38.0,128.0,Spring,13.63467070846154
-38.0,128.0,Summer,16.873890724615386
-38.0,128.0,Winter,13.763431455128206
-38.0,130.0,Autumn,16.727883762820515
-38.0,130.0,Spring,13.697220964358975
-38.0,130.0,Summer,16.903427473846154
-38.0,130.0,Winter,13.814953262820515
-38.0,132.0,Autumn,16.782502032051283
-38.0,132.0,Spring,13.826572892820513
-38.0,132.0,Summer,16.966011431794872
-38.0,132.0,Winter,13.951173089743591
-38.0,134.0,Autumn,16.87572855769231
-38.0,134.0,Spring,13.99992059051282
-38.0,134.0,Summer,17.090194576923075
-38.0,134.0,Winter,14.110310602564104
-38.0,136.0,Autumn,16.95806996153846
-38.0,136.0,Spring,14.197166662051282
-38.0,136.0,Summer,17.246651645128207
-38.0,136.0,Winter,14.277653641025642
-38.0,138.0,Autumn,16.98169908974359
-38.0,138.0,Spring,14.401111248717948
-38.0,138.0,Summer,17.36336172051282
-38.0,138.0,Winter,14.458040730769232
-38.0,140.0,Autumn,16.921412038461536
-38.0,140.0,Spring,14.511085626153848
-38.0,140.0,Summer,17.355229311282052
-38.0,140.0,Winter,14.569656224358974
-38.0,142.0,Autumn,16.81370862179487
-38.0,142.0,Spring,14.391763902307693
-38.0,142.0,Summer,17.228112395897437
-38.0,142.0,Winter,14.476148038461538
-38.0,146.0,Autumn,17.864088243589745
-38.0,146.0,Spring,14.336415964358975
-38.0,146.0,Summer,18.28106837025641
-38.0,146.0,Winter,14.131788461538461
-38.0,148.0,Autumn,18.573679134615386
