year,season,lat,sst
2013,Autumn,-20.0,27.527779
2013,Autumn,-10.0,29.119053935897437
2013,Spring,-40.0,13.547955467948718
2013,Spring,-30.0,20.83426557142857
2013,Spring,-20.0,25.212460181818184
2013,Spring,-10.0,28.174126846153843
2013,Summer,-40.0,16.661979884615388
2013,Summer,-30.0,23.667129571428575
2013,Summer,-20.0,27.94978978787879
2013,Summer,-10.0,29.587287333333336
2013,Winter,-40.0,13.824217185897437
2013,Winter,-30.0,20.51473066666667
2013,Winter,-20.0,24.434396454545453
2013,Winter,-10.0,27.24307884615385
2014,Autumn,-40.0,16.445097961538462
2014,Autumn,-30.0,23.308536285714283
2014,Autumn,-20.0,27.57750515151515
2014,Autumn,-10.0,29.088086948717947
2014,Spring,-40.0,13.598865160256409
2014,Spring,-30.0,20.58337338095238
2014,Spring,-20.0,24.83980727272727
2014,Spring,-10.0,27.878839461538462
2014,Summer,-40.0,16.603348685897437
2014,Summer,-30.0,23.343395428571426
2014,Summer,-20.0,27.587251393939393
2014,Summer,-10.0,29.380273923076924
2014,Winter,-40.0,13.790447653846153
2014,Winter,-30.0,20.659543095238096
2014,Winter,-20.0,24.40705503030303
2014,Winter,-10.0,27.07846155128205
2015,Autumn,-40.0,16.043949724358978
2015,Autumn,-30.0,23.601347428571433
2015,Autumn,-20.0,27.661364393939397
2015,Autumn,-10.0,29.313635525641022
2015,Spring,-40.0,13.806370282051281
2015,Spring,-30.0,21.01961623809524
2015,Spring,-20.0,25.208309878787876
2015,Spring,-10.0,27.82046215384615
2015,Summer,-40.0,16.775882019230767
2015,Summer,-30.0,23.54814142857143
2015,Summer,-20.0,27.780813757575757
2015,Summer,-10.0,29.663208641025644
2015,Winter,-40.0,13.299192153846155
2015,Winter,-30.0,20.71986257142857
2015,Winter,-20.0,24.430221121212117
2015,Winter,-10.0,26.95952353846154
2016,Autumn,-40.0,16.748682846153844
2016,Autumn,-30.0,23.407612904761905
2016,Autumn,-20.0,28.077745272727274
2016,Autumn,-10.0,29.90401001282051
2016,Spring,-40.0,13.055482
2016,Spring,-30.0,20.466253285714284
2016,Spring,-20.0,25.298157696969696
2016,Spring,-10.0,28.74749255128205
2016,Summer,-40.0,16.763407807692307
2016,Summer,-30.0,23.364512857142856
2016,Summer,-20.0,27.822122181818184
2016,Summer,-10.0,29.909337512820514
2016,Winter,-40.0,13.529345583333333
2016,Winter,-30.0,20.56603914285714
2016,Winter,-20.0,25.133700333333334
2016,Winter,-10.0,27.872184153846153
2017,Autumn,-40.0,16.25012694871795
2017,Autumn,-30.0,23.241574666666665
2017,Autumn,-20.0,27.50521775757576
2017,Autumn,-10.0,29.231292756410255
2017,Spring,-40.0,13.571989461538463
2017,Spring,-30.0,20.66657757142857
2017,Spring,-20.0,25.170181515151512
2017,Spring,-10.0,28.41876655128205
2017,Summer,-40.0,16.563878743589743
2017,Summer,-30.0,23.636879238095236
2017,Summer,-20.0,27.765635696969696
2017,Summer,-10.0,29.75308029487179
2017,Winter,-40.0,13.552234314102563
2017,Winter,-30.0,20.614226095238095
2017,Winter,-20.0,24.58216678787879
2017,Winter,-10.0,27.252459089743592
2018,Autumn,-40.0,16.23824591025641
2018,Autumn,-30.0,23.68578542857143
2018,Autumn,-20.0,27.824219878787876
2018,Autumn,-10.0,29.329485846153847
2018,Spring,-40.0,13.35232367948718
2018,Spring,-30.0,20.336973619047622
2018,Spring,-20.0,24.782430757575757
2018,Spring,-10.0,28.068580858974357
2018,Summer,-40.0,16.84110112179487
2018,Summer,-30.0,23.43780842857143
2018,Summer,-20.0,27.571688030303033
2018,Summer,-10.0,29.54148324358974
2018,Winter,-40.0,13.416608538461539
2018,Winter,-30.0,20.579974809523808
2018,Winter,-20.0,24.36037627272727
2018,Winter,-10.0,26.894024615384613
2019,Autumn,-40.0,15.987469576923075
2019,Autumn,-30.0,23.217652523809523
2019,Autumn,-20.0,27.38519790909091
2019,Autumn,-10.0,28.85894456410256
2019,Spring,-40.0,13.062603910256412
2019,Spring,-30.0,20.436884000000003
2019,Spring,-20.0,24.973905515151515
2019,Spring,-10.0,27.526614076923078
2019,Summer,-40.0,16.538701897435896
2019,Summer,-30.0,23.527549285714286
2019,Summer,-20.0,27.49423560606061
2019,Summer,-10.0,29.338736576923072
2019,Winter,-40.0,13.222303262820512
2019,Winter,-30.0,20.556113476190475
2019,Winter,-20.0,24.41209663636364
2019,Winter,-10.0,26.506854807692307
2020,Autumn,-40.0,15.879760346153844
2020,Autumn,-30.0,23.499133666666665
2020,Autumn,-20.0,27.89738793939394
2020,Autumn,-10.0,29.39959257692308
2020,Spring,-40.0,13.382550256410255
2020,Spring,-30.0,20.634509476190477
2020,Spring,-20.0,25.354468818181818
2020,Spring,-10.0,28.315638012820514
2020,Summer,-40.0,16.28967366666667
2020,Summer,-30.0,23.838231285714286
2020,Summer,-20.0,28.179246515151515
2020,Summer,-10.0,29.820303115384615
2020,Winter,-40.0,13.179921705128203
2020,Winter,-30.0,20.51290438095238
2020,Winter,-20.0,24.747373212121214
2020,Winter,-10.0,27.470666807692307
2021,Autumn,-40.0,16.185215634615385
2021,Autumn,-30.0,23.393565904761903
2021,Autumn,-20.0,27.479037939393944
2021,Autumn,-10.0,28.99543379487179
2021,Spring,-40.0,13.228543326923075
2021,Spring,-30.0,20.463170047619045
2021,Spring,-20.0,25.17484
2021,Spring,-10.0,28.456902576923074
2021,Summer,-40.0,16.346850205128206
2021,Summer,-30.0,23.60121266666667
2021,Summer,-20.0,28.191894151515154
2021,Summer,-10.0,29.615270153846154
2021,Winter,-40.0,13.418032294871795
2021,Winter,-30.0,20.44066738095238
2021,Winter,-20.0,24.606076606060608
2021,Winter,-10.0,27.358384153846156
2022,Autumn,-40.0,16.796988794871794
2022,Autumn,-30.0,23.489941952380956
2022,Autumn,-20.0,27.887730818181822
2022,Autumn,-10.0,29.66655012820513
2022,Spring,-40.0,13.453765762820511
2022,Spring,-30.0,20.55852080952381
2022,Spring,-20.0,25.475444030303027
2022,Spring,-10.0,28.972763076923073
2022,Summer,-40.0,16.687555397435897
2022,Summer,-30.0,23.290618761904756
2022,Summer,-20.0,27.825353696969696
2022,Summer,-10.0,29.511445141025643
2022,Winter,-40.0,13.631488788461539
2022,Winter,-30.0,20.804639047619048
2022,Winter,-20.0,25.067523515151517
2022,Winter,-10.0,28.01384137179487
2023,Autumn,-40.0,16.24190339102564
2023,Autumn,-30.0,23.397433571428575
